Date,volatility,trend,drawdown,regime,regime_name,portfolio_returns,equity_curve,dynamic_equity,benchmark_equity
2025-07-11,0.1000383382497046,1,-0.0035152275052487,2,Bull,0.0089059560112866,1.0089059560112867,1.0089059560112867,1.0061678460691734
2025-07-14,0.0997620979606613,1,-0.00161381793246,2,Bull,0.0138270086758195,1.0228561074181408,1.0228561074181408,1.005653577653556
2025-07-15,0.0903347680270412,1,-0.0058801868047368,2,Bull,-0.0145581115732826,1.007965254082934,1.007965254082934,1.0089880878128512
2025-07-16,0.0862987596406205,1,-0.0025566542745225,2,Bull,-6.268143978119842e-05,1.0079020733695587,1.0079020733695587,1.007977781916606
2025-07-17,0.0780160793339364,1,0.0,2,Bull,-0.0166962937933669,0.9910738442376368,0.9910738442376368,1.0124593053174924
2025-07-18,0.078320063397572,1,-0.0007324129021104,2,Bull,-0.0059809659435289,0.9851462653277292,0.9851462653277292,1.0176255056798622
2025-07-21,0.0761659008907565,1,0.0,2,Bull,-0.0045936806376213,0.9806208180034685,0.9806208180034685,1.0296915933259547
2025-07-22,0.0719506170999853,1,0.0,2,Bull,0.0246383534706136,1.00478170033808,1.00478170033808,1.029224932452698
2025-07-23,0.0683531821385642,1,0.0,2,Bull,-0.0210619675867189,0.9836190207338312,0.9836190207338312,1.0286653386733806
2025-07-24,0.0684318802739515,1,0.0,2,Bull,0.0145915097421806,0.9979715072574632,0.9979715072574632,1.0378048914710505
2025-07-25,0.0656521916420542,1,0.0,2,Bull,-0.0029304543412098,0.9950469973216168,0.9950469973216168,1.0398688145028292
2025-07-28,0.0651668338060805,1,-0.0002511001451917,2,Bull,0.0139813388445625,1.008959086557435,1.008959086557435,1.0401720329545794
2025-07-29,0.0659358063294165,1,-0.0028880864333267,2,Bull,3.580472978417787e-05,1.0089952120648924,1.0089952120648924,1.0391223382523582
2025-07-30,0.066342378778059,1,-0.0041437803875618,2,Bull,-0.0007404992314164,1.0082480518858554,1.0082480518858554,1.0368451477828031
2025-07-31,0.0675790263410163,1,-0.0078794626553507,2,Bull,0.0002509291101452,1.0085010506723209,1.0085010506723209,1.0435497952748842
2025-08-01,0.0867130164228651,0,-0.0241407814847119,3,Bear,0.0259051939024097,1.0346264659407711,1.0346264659407711,1.0070947418772307
2025-08-04,0.0983485269834028,1,-0.0093078060745559,2,Bull,-0.0012654142383076,1.0333172348794395,1.0333172348794395,1.0180733468561738
2025-08-05,0.100491657526257,0,-0.0143305818914961,3,Bear,-0.0332617294124533,0.9989473166156552,0.9989473166156552,1.015828569259822
2025-08-06,0.1018338345861522,1,-0.0067807666756968,2,Bull,0.0047062105310116,1.0036485729970377,1.0036485729970377,1.0394271237630393
2025-08-07,0.1016578111525149,1,-0.0076126144056317,2,Bull,-0.0164089380203428,0.9871797657685236,0.9871797657685236,1.047187749354392
2025-08-08,0.1035987259818639,1,0.0,2,Bull,0.0188636290304417,1.0058015586563396,1.0058015586563396,1.0648913943998182
2025-08-11,0.1041117590267093,1,-0.0019774432364147,2,Bull,-0.022046115054485,0.9836275417722216,0.9836275417722216,1.0603172432817636
2025-08-12,0.1076831733482438,1,0.0,2,Bull,0.0057086402012115,0.9892427175002012,0.9892427175002012,1.0702839648559055
2025-08-13,0.1077002399277887,1,0.0,2,Bull,-0.0292724867771771,0.9602851231327576,0.9602851231327576,1.0721106771608715
2025-08-14,0.1065024115417651,1,0.0,2,Bull,0.0077628455338563,0.9677396682120974,0.9677396682120974,1.08142035399904
2025-08-15,0.1070713840132048,1,-0.0023412900802291,2,Bull,0.0056348322944008,0.9731927189471118,0.9731927189471118,1.0801804384481066
